match_id,player,player_deaths_per_min,player_assists_per_min,player_tower_damage,player_xp_per_min,player_gold_per_min,player_kills_per_min,player_roshans_killed,player_obs_placed,opponent,opponent_deaths_per_min,opponent_assists_per_min,opponent_tower_damage,opponent_xp_per_min,opponent_gold_per_min,opponent_kills_per_min,opponent_roshans_killed,opponent_obs_placed,winner,player_tower_damage_per_min,opponent_tower_damage_per_min,player_hero_damage_per_min,opponent_hero_damage_per_min,player_last_hits_per_min,opponent_last_hits_per_min,player_win_ratio,opponent_win_ratio
6881659514,180874827,0,0,0,594.05,381.15,0.1607773878102332,0,0,197387132,0,0,0,649.1578947368421,415.7368421052632,0.17561191554119585,0,0,180874827,28.720446706958892,43.27215938803597,529.535692305838,538.3163664892911,1.5610683935542113,3.6312290389545545,0.5060653188180404,0.5554078014184397
6881660512,243121272,0,0,0,674.6,459.7,0.19026506213991534,0,0,195373492,0,0,0,553.2,381.75,0.13694666035683492,0,0,243121272,0,0,620.0537427011838,460.7491855152257,3.9854224546387322,3.17835462903654,0.4753765932792584,0.4910086004691165
6881661318,1136997576,0.13744867820247658,0.2895504398874972,0,768.65,524.85,0.22295084080190164,0,0,336799403,0.18445173536403475,0.35626843559808125,0,754.75,570.5,0.2746245122048364,0,0,1136997576,42.62476335174637,133.99109950765603,670.3191494791424,762.0695788457581,5.52497000861632,5.331841037367008,0.5338345864661654,0.5005046863734679
6881661710,252098615,0,0,0,709.45,498.15,0.26215876124596804,0,0,243069466,0,0,0,736.8,458.9,0.1818325708896348,0,0,252098615,0,41.02161187013794,787.4845218579279,504.85802677651117,4.445246688393185,2.972197614272468,0.5238805970149254,0.49588845191276365
6881661908,428159091,0.2910844077338071,0.440311537088243,0,759.55,555.4,0.1974456165002219,0,0,886944786,0.25924860542659656,0.2928423007609404,0,664.0,523.0,0.20307109831406775,0,0,886944786,36.90783443101303,38.43397337731798,627.0985018884602,725.6282858703617,3.157638351003716,5.783728619960599,0.5363873985417527,0.5207349081364829
6881663206,181853758,0.3021316393061241,0.4471919824349553,0,719.1,538.25,0.2133452377151246,0,0,312248518,0.2112497947819464,0.4168693498800832,0,652.2777777777778,456.22222222222223,0.17075206690860936,0,0,312248518,77.43125631599938,51.65432724833227,689.2243559397168,580.9089409945159,3.364118022529426,4.156277983604444,0.5174013921113689,0.4881949733434882
6881663714,137481058,0,0,0,1112.65,842.6,0.2772872516458332,0,0,917695474,0,0,0,622.9,479.8,0.1811976393188303,0,0,137481058,95.16121550147622,84.79259157387956,861.6501068498341,545.3295209560439,3.3236002663237842,4.992291042662868,0.5179014045717433,0.5319031903190319
6881663802,482454492,0.2958775087301315,0.3231880168832887,0,612.7,401.75,0.2192738026072787,0,0,135541436,0.2335286188197657,0.39251667601506834,0,835.4,550.05,0.18031269994543694,0,0,135541436,35.812613458836566,42.667830920613994,767.6656851126179,623.9761265163559,2.699499440926811,4.359400822140784,0.5130111524163569,0.5396246089676746
6881664710,219535543,0,0,0,0,376.55,0.10403731336841245,0,0,249553427,0,0,0,0,656.7894736842105,0.22826685628283075,0,0,249553427,0,0,333.051416020122,595.1914129440131,3.2401920091951113,3.0185448840429756,0.5020008892841262,0.5287459040810247
6881664711,146571193,0.3080558523558426,0.6110713284930692,0,1256.1,920.5,0.27465479449495556,0,0,198781871,0.20835971228931896,0.3611007711034491,0,685.1,505.45,0.18276086891749582,0,0,198781871,52.322249995194184,88.57759876243334,968.1001109208762,729.0238705285931,2.942558698911692,4.7233569838513265,0.4975191700496166,0.500487995315245
