account_id,wins,losses,total
173487372,601,687,1288
376884895,1902,2054,3956
153110997,242,388,630
1121170451,248,229,477
118839691,737,623,1360
437601765,1345,849,2194
124272893,668,692,1360
233422854,282,241,523
147428574,2280,2495,4775
292686154,1486,1441,2927
208034581,1625,1624,3249
140386828,4328,4144,8472
335246891,1011,864,1875
967878929,103,89,192
151849575,1490,1458,2948
227660565,1841,1852,3693
177910556,2745,2639,5384
173487372,601,687,1288
376884895,1902,2054,3956
137935474,2261,1997,4258
1098560074,221,204,425
164381917,1153,1076,2229
230623985,1074,945,2019
153414443,2183,2165,4348
138512165,67,73,140
390727870,164,214,378
143129200,2965,3028,5993
169123922,2695,2686,5381
221563206,3025,2820,5845
122597505,981,1059,2040
292818656,2830,2739,5569
433370472,462,486,948
155341481,5628,5403,11031
199970534,4350,4039,8389
131878875,2156,1907,4063
254047336,693,699,1392
1028667010,129,162,291
366147263,137,178,315
208608441,1040,1009,2049
871541145,578,565,1143
1021587169,284,243,527
231559590,402,399,801
173437171,1583,1303,2886
171941570,1539,1416,2955
153110997,242,388,630
1121170451,248,229,477
118839691,737,623,1360
437601765,1345,849,2194
124272893,668,692,1360
233422854,282,241,523
147428574,2280,2495,4775
292686154,1486,1441,2927
208034581,1625,1624,3249
140386828,4328,4144,8472
335246891,1011,864,1875
967878929,103,89,192
151849575,1490,1458,2948
227660565,1841,1852,3693
177910556,2745,2639,5384
173487372,601,687,1288
376884895,1902,2054,3956
137935474,2261,1997,4258
1098560074,221,204,425
164381917,1153,1076,2229
230623985,1074,945,2019
153414443,2183,2165,4348
138512165,67,73,140
390727870,164,214,378
143129200,2965,3028,5993
169123922,2695,2686,5381
221563206,3025,2820,5845
122597505,981,1059,2040
292818656,2830,2739,5569
433370472,462,486,948
155341481,5628,5403,11031
199970534,4350,4039,8389
131878875,2156,1907,4063
254047336,693,699,1392
1028667010,129,162,291
366147263,137,178,315
208608441,1040,1009,2049
871541145,578,565,1143
1021587169,284,243,527
231559590,402,399,801
173437171,1583,1303,2886
171941570,1539,1416,2955
185278478,1912,1944,3856
149371396,2842,2831,5673
122184831,2504,2421,4925
379740963,299,409,708
1102443244,2225,1989,4214
208985553,2280,1782,4062
