match_id,hero_id,account_id,net_worth,kills,deaths,hero_damage,gold_per_min,assists,xp_per_min,last_hits,tower_damage,obs_placed,roshans_killed,isRadiant,win
6880961402,18,1061967760.0,6055,0,1,1737,582,8,546,56,9408,,,True,1
6880961402,67,380663148.0,5183,6,1,2497,488,1,316,40,1205,,,True,1
6880961402,87,167742724.0,3941,0,1,792,369,6,216,35,0,,,True,1
6880961402,32,164881922.0,3908,3,1,1379,360,3,257,22,469,,,True,1
6880961402,8,290971350.0,4478,1,1,2633,411,6,338,34,264,,,True,1
6880961402,107,,3048,2,2,798,279,2,219,26,0,,,False,0
6880961402,71,193053833.0,3610,1,1,472,328,2,329,46,0,,,False,0
6880961402,38,134593891.0,2229,0,3,579,222,5,188,29,0,,,False,0
6880961402,137,,3631,1,2,3381,351,4,327,50,0,,,False,0
6880961402,53,1254230986.0,3238,1,2,245,286,2,241,55,0,,,False,0
6880960112,109,1221385501.0,7741,0,0,7417,480,3,405,102,1940,,,True,1
6880960112,107,,5466,3,3,11439,330,2,166,18,0,,,True,1
6880960112,62,157035951.0,5301,1,0,1677,293,2,243,23,4762,,,True,1
6880960112,14,,7070,1,0,864,425,0,374,83,0,,,True,1
6880960112,73,345161148.0,7821,0,0,2183,471,3,419,77,0,,,True,1
6880960112,66,,3044,0,1,1978,165,0,193,18,0,,,False,0
6880960112,28,,4151,0,2,0,232,0,221,61,0,,,False,0
6880960112,98,,4653,3,2,20438,425,0,452,87,0,,,False,0
6880960112,44,985970252.0,6772,0,1,1158,391,0,359,99,0,,,False,0
6880960112,29,,4217,0,0,2312,230,0,198,48,0,,,False,0
6880955508,42,,6588,3,1,1794,463,2,244,61,11352,,,True,1
6880955508,89,,4016,2,1,698,255,1,262,15,0,,,True,1
6880955508,28,,6005,1,4,1983,420,5,329,53,3772,,,True,1
6880955508,73,,7036,0,2,3512,495,4,260,74,229,,,True,1
6880955508,104,186325061.0,5319,1,2,2277,406,4,397,63,0,,,True,1
6880955508,15,,6327,8,2,10076,447,0,458,55,696,,,False,0
6880955508,94,,4867,0,1,932,346,1,389,76,136,,,False,0
6880955508,2,264699592.0,5493,0,1,8748,392,0,476,77,0,,,False,0
6880955508,56,341044515.0,4666,0,1,164,318,2,317,52,103,,,False,0
6880955508,45,,4388,1,2,504,284,3,359,48,0,,,False,0
6880953201,39,,826,0,4,2591,149,2,208,8,0,,,True,0
6880953201,98,381576809.0,6443,2,4,6339,549,1,337,36,0,,,True,0
6880953201,114,488543093.0,3136,2,1,2429,389,0,348,44,0,,,True,0
6880953201,69,,1866,0,3,2789,194,2,181,16,0,,,True,0
6880953201,7,86781993.0,1651,1,6,2051,214,3,141,9,0,,,True,0
6880953201,10,136498061.0,6342,3,0,3548,545,2,589,87,2238,,,False,1
6880953201,8,,5512,5,2,8003,473,3,390,50,697,,,False,1
6880953201,40,327210152.0,2380,2,3,6300,226,5,252,3,0,,,False,1
6880953201,113,,5136,3,0,3779,446,0,412,62,1210,,,False,1
6880953201,136,101226356.0,3076,2,0,4195,241,6,266,10,0,,,False,1
6880952511,54,198998465.0,4719,0,0,1305,384,2,309,59,893,,,True,1
6880952511,135,167517249.0,4599,1,0,2498,378,0,361,53,218,,,True,1
6880952511,5,129683087.0,2546,1,0,2730,207,1,260,7,292,,,True,1
6880952511,9,144030630.0,3145,2,1,3535,261,1,251,18,865,,,True,1
6880952511,100,137756036.0,4701,1,0,1876,373,1,439,50,1094,,,True,1
6880952511,8,107665822.0,3305,1,1,1256,336,0,312,44,0,,,False,0
6880952511,70,,1770,0,2,2144,207,0,136,21,0,,,False,0
6880952511,46,,1215,0,0,1357,150,0,124,9,0,,,False,0
6880952511,27,156592707.0,1655,0,0,629,187,0,160,10,0,,,False,0
6880952511,75,195476952.0,4330,0,2,2298,355,1,205,8,0,,,False,0
6880951619,36,,7923,6,2,8937,496,2,631,85,1915,,,True,1
6880951619,41,,6250,2,3,3812,381,3,346,49,5151,,,True,1
6880951619,107,,6680,2,6,4767,414,9,367,42,1549,,,True,1
6880951619,109,,8140,7,2,7721,523,11,458,49,6629,,,True,1
6880951619,111,,5996,2,2,1819,343,4,311,40,987,,,True,1
6880951619,89,882999505.0,9334,8,4,13651,598,2,726,91,42,,,False,0
6880951619,67,383201212.0,3944,5,6,2715,232,2,268,6,0,,,False,0
6880951619,2,,2776,0,4,4456,204,4,190,24,0,,,False,0
6880951619,49,,3353,0,6,1544,189,0,220,22,29,,,False,0
6880951619,85,,3968,1,6,588,220,0,330,31,620,,,False,0
6880950305,129,172632993.0,101,0,15,1145,150,0,169,0,0,,,True,0
6880950305,8,,7526,2,16,5231,426,0,192,6,35,,,True,0
6880950305,31,421338720.0,1432,2,3,3270,250,0,249,13,0,,,True,0
6880950305,93,,102,0,4,684,111,1,64,3,0,,,True,0
6880950305,80,,7718,0,3,2110,402,1,283,24,0,,,True,0
6880950305,26,,8378,2,1,2418,426,6,406,61,3811,,,False,1
6880950305,113,,13565,21,1,15423,739,5,711,65,2021,,,False,1
6880950305,47,,9849,3,1,4166,521,3,441,97,4837,,,False,1
6880950305,95,348586163.0,10106,7,1,5286,524,10,452,86,11900,,,False,1
6880950305,37,120543887.0,8886,6,1,8941,453,17,431,39,7279,,,False,1
6880949502,135,1022379042.0,6511,4,2,10805,381,5,417,60,513,,,True,1
6880949502,85,,3637,3,1,6064,238,7,349,16,259,,,True,1
6880949502,74,362637453.0,4940,3,4,3615,294,2,400,37,460,,,True,1
6880949502,47,,6595,7,0,8699,422,4,457,57,1190,,,True,1
6880949502,6,,5086,2,2,5450,287,8,352,37,229,,,True,1
6880949502,104,280394584.0,2271,0,4,2433,270,2,265,56,0,,,False,0
6880949502,102,,1416,0,3,4320,170,2,173,14,0,,,False,0
6880949502,31,,7550,0,2,1186,465,3,165,1,259,,,False,0
6880949502,113,,6181,6,3,10643,531,2,564,67,1422,,,False,0
6880949502,99,,3526,3,7,7761,385,1,318,31,0,,,False,0
6880947619,27,,8061,7,2,9495,415,14,578,69,2409,,,True,1
6880947619,29,,11085,8,1,7028,503,13,524,96,2777,,,True,1
6880947619,35,,11189,8,1,13416,517,13,443,110,9409,,,True,1
6880947619,84,,7682,5,4,7586,407,17,415,38,1259,,,True,1
6880947619,6,,7853,3,2,9449,345,18,410,44,4639,,,True,1
6880947619,11,,10064,3,4,6397,500,1,584,135,0,,,False,0
6880947619,56,,652,0,3,1093,138,0,92,9,0,,,False,0
6880947619,9,287441390.0,623,0,3,2254,140,0,66,9,0,,,False,0
6880947619,15,133283580.0,8490,4,9,18429,411,3,383,82,195,,,False,0
6880947619,30,,4409,2,12,6058,269,4,202,11,36,,,False,0
6880947610,85,,6993,2,1,1239,290,3,238,35,1025,,,True,1
6880947610,9,352551520.0,8865,4,2,8161,414,7,513,50,1794,,,True,1
6880947610,81,,11008,5,2,10139,493,7,603,99,10324,,,True,1
6880947610,75,,9124,7,4,12713,428,6,462,59,3251,,,True,1
6880947610,95,,10658,5,3,6857,509,4,530,107,7267,,,True,1
6880947610,6,,8116,7,6,9431,396,0,528,72,985,,,False,0
6880947610,12,,7475,0,2,2447,329,1,432,125,62,,,False,0
6880947610,108,,4430,2,7,8960,228,0,182,42,0,,,False,0
6880947610,48,53339344.0,6834,1,7,3450,329,2,369,79,0,,,False,0
6880947610,32,1097347576.0,1841,0,3,523,170,2,243,3,0,,,False,0
6880947513,99,213302923.0,8781,7,3,12759,439,8,428,66,5071,,,True,1
6880947513,50,910515065.0,5770,0,4,6143,279,16,338,12,1449,,,True,1
