match_id,player,opponent,winner
6880923917,323271155,135623933,135623933
6880924102,767434930,923113673,767434930
6880924213,911615836,1043362391,911615836
6880924214,153110997,1121170451,1121170451
6880924314,118839691,437601765,437601765
6880924319,438732201,1103403813,1103403813
6880924403,124272893,233422854,233422854
6880924409,147428574,292686154,292686154
6880924507,389167051,180154380,389167051
6880924612,208034581,140386828,140386828
6880924914,335246891,967878929,967878929
6880925100,151849575,227660565,227660565
6880925307,177910556,173487372,173487372
6880925313,376884895,137935474,376884895
6880925403,1098560074,164381917,164381917
6880925414,230623985,153414443,153414443
6880925417,1145138655,247734473,247734473
6880925418,138512165,390727870,390727870
6880925419,1033075999,324968377,1033075999
6880925617,162834835,427119193,427119193
6880925816,187656327,255072931,187656327
6880926116,143129200,169123922,169123922
6880926709,221563206,122597505,122597505
6880926712,292818656,433370472,433370472
6880926714,155341481,199970534,199970534
6880926800,131878875,254047336,254047336
6880927006,1028667010,366147263,1028667010
6880927013,485471050,337988328,485471050
6880927014,208608441,871541145,871541145
6880927203,1021587169,231559590,1021587169
6880927204,903118729,102176529,903118729
6880927611,173437171,171941570,171941570
6880927617,185278478,149371396,149371396
6880927914,355984730,907232276,907232276
6880928519,194017616,205707870,194017616
6880928807,122184831,379740963,379740963
6880929009,1102443244,208985553,1102443244
6880929116,148224682,180514169,148224682
6880929406,995506605,121586153,121586153
6880929408,1112136365,1138160474,1112136365
6880929711,873320106,109580479,109580479
6880929908,192268080,311613000,192268080
6880929917,217342286,882119149,882119149
6880930112,127044155,400363271,400363271
6880930219,231351807,300573105,231351807
6880930401,145156585,359962185,359962185
6880931110,239938454,116862981,239938454
6880931318,303505038,896037985,303505038
6880931503,936756390,359292945,359292945
6880931508,460158920,847152704,847152704
6880931806,353048152,1057642255,1057642255
6880932211,169834280,1278752152,1278752152
6880932213,374896820,292772609,292772609
6880932219,204655516,1271015859,204655516
6880932304,101777133,914334317,101777133
6880932307,143435187,101165607,143435187
6880932403,145212342,1367561285,145212342
6880932415,876232213,997377744,997377744
6880932601,344005958,183366166,344005958
6880932702,963978704,423653543,423653543
6880932712,392270975,403987429,403987429
6880932806,303014025,1059802619,303014025
6880932812,206806703,1004433768,206806703
6880932916,139763963,158820336,139763963
6880933001,124949416,1258051691,124949416
6880933205,1062928536,191966236,191966236
6880933214,138814949,110011605,138814949
6880933308,295322165,251290993,295322165
6880933310,260385113,447375640,260385113
6880933316,190210711,291930970,190210711
6880933403,179318300,866670643,866670643
6880933404,121521137,179405670,121521137
6880933408,100826799,176303716,176303716
6880933500,758975080,136010529,136010529
6880933519,138937308,149239914,149239914
6880933702,198539468,1141003018,198539468
6880934202,1021474693,297762735,1021474693
6880934304,928614687,142044039,142044039
6880934313,353173485,441459799,353173485
6880934716,104908816,120497374,104908816
6880934717,116315184,689298790,689298790
6880934913,288619012,1417600885,1417600885
6880935000,268268652,244144384,268268652
6880935117,1004635433,429283387,1004635433
6880935311,135865676,110718422,110718422
6880935407,333165935,1193381001,1193381001
6880935419,464949116,1042915899,464949116
6880935900,838241239,295723066,295723066
6880936017,193915775,484055956,193915775
