'match_id','hero_id','account_id','net_worth','kills','deaths','hero_damage','gold_per_min','assists','xp_per_min','kills','last_hits','tower_damage','obs_placed','roshans_killed'
6879569703,16,,1301,0,4,1087,137,1,69,0,4,0,,
6879569602,76,,5276,7,0,8341,395,1,481,7,47,1191,,
6879569602,84,,5266,0,1,4118,337,8,343,0,42,288,,
6879569602,75,,2954,1,0,5806,198,5,272,1,6,367,,
6879569602,128,,4178,3,2,5612,275,5,321,3,17,242,,
6879569602,8,,6264,1,0,3511,411,1,350,1,87,278,,
6879569602,102,,1702,0,1,871,158,0,248,0,11,0,,
6879569602,44,110383019.0,4032,1,3,3913,304,1,273,1,49,0,,
6879569602,99,396659407.0,6449,0,1,4908,435,0,327,0,67,0,,
6879569602,58,,2412,1,6,5098,190,0,274,1,22,0,,
6879569602,108,140815347.0,3027,1,2,3383,254,0,281,1,35,0,,
6879568809,37,448243633.0,5061,1,2,5554,261,24,319,1,9,1388,,
6879568809,71,,8009,10,0,7161,413,18,370,10,27,6270,,
6879568809,70,414486546.0,10714,9,0,6054,553,3,547,9,98,5096,,
6879568809,104,,9907,7,0,8089,513,6,526,7,93,5208,,
6879568809,21,,11080,14,0,17319,590,20,565,14,87,4281,,
6879568809,35,230747855.0,5446,0,8,12323,310,0,306,0,79,0,,
6879568809,52,,2144,0,23,3225,165,0,91,0,11,672,,
6879568809,14,,4674,1,4,2514,238,1,214,1,38,0,,
6879568809,84,170343839.0,1301,1,10,2537,146,0,149,1,7,0,,
6879568809,48,,5352,0,2,480,278,1,257,0,92,0,,
6879566013,97,139091311.0,1642,0,1,0,145,0,31,0,1,0,,
6879566013,78,,1761,0,1,81,163,0,39,0,6,0,,
6879566013,49,,1606,0,1,44,140,0,31,0,0,0,,
6879566013,103,,1673,0,1,31,150,0,31,0,2,0,,
6879566013,71,,1785,0,1,58,167,0,29,0,8,0,,
6879566013,135,165080067.0,2671,0,3,967,348,5,115,0,4,881,,
6879566013,51,198535755.0,3551,0,1,154,461,1,187,0,20,3435,,
6879566013,80,853806821.0,3254,0,2,493,400,5,187,0,11,2543,,
6879566013,40,181370234.0,2911,0,2,608,374,5,140,0,7,2997,,
6879566013,53,128406279.0,4152,0,1,755,569,5,276,0,31,7306,,
6879565216,7,1088836975.0,4264,0,1,3197,279,8,282,0,14,1603,,
6879565216,114,391423488.0,9449,6,1,5424,553,1,406,6,87,4418,,
6879565216,61,875883083.0,9903,4,0,5545,600,0,573,4,119,12834,,
6879565216,75,94281932.0,9538,12,2,17796,612,3,671,12,76,441,,
6879565216,136,342252839.0,3817,2,2,3154,272,7,248,2,6,3823,,
6879565216,65,,2529,1,5,3541,144,0,171,1,17,0,,
6879565216,33,196809329.0,4375,1,4,4236,260,1,279,1,54,0,,
6879565216,86,,3224,1,5,4175,195,2,234,1,17,0,,
6879565216,89,,5539,1,1,6139,324,0,354,1,104,0,,
6879565216,59,87509878.0,5608,2,10,5750,347,1,537,2,61,0,,
6879564314,30,,2000,0,0,1113,196,1,167,0,5,465,,
6879564314,6,459367387.0,4907,2,0,1135,449,0,403,2,58,762,,
6879564314,86,366365985.0,2846,3,0,4739,277,5,302,3,4,424,,
6879564314,46,239593027.0,5599,1,0,2315,508,1,493,1,75,1108,,
6879564314,135,126355038.0,5031,3,0,3743,452,2,332,3,53,819,,
6879564314,10,,457,0,1,957,246,0,153,0,22,0,,
6879564314,136,1068564179.0,942,0,7,2278,274,0,123,0,1,0,,
6879564314,16,183244122.0,2,0,0,1472,149,0,171,0,10,0,,
6879564314,56,1432936381.0,6931,0,2,1406,654,0,392,0,49,0,,
6879564314,7,301164462.0,652,0,0,0,98,0,8,0,0,0,,
6879564005,129,292740031.0,2827,2,3,6520,288,1,317,2,49,0,,
6879564005,6,845219612.0,9089,0,5,4557,487,2,338,0,90,0,,
6879564005,85,1020842181.0,2102,1,3,3386,314,2,279,1,72,222,,
6879564005,31,154589043.0,1602,3,4,5662,276,3,332,3,19,0,,
6879564005,5,,6732,2,2,7300,361,4,236,2,8,0,,
6879564005,58,,9014,4,1,6992,504,4,454,4,103,3977,,
6879564005,36,,11512,7,3,8933,617,1,603,7,151,1699,,
6879564005,88,21981824.0,4236,2,1,5138,248,9,288,2,5,888,,
6879564005,87,,4285,2,3,7169,265,9,312,2,10,1007,,
6879564005,10,,10921,2,1,4684,559,2,528,2,176,9777,,
6879563400,15,244674764.0,3644,10,6,9867,415,1,373,10,31,0,,
6879563400,64,930535026.0,3327,1,4,1449,233,2,206,1,40,201,,
6879563400,92,,4391,0,2,1351,282,2,300,0,42,281,,
6879563400,73,,4583,5,1,9059,336,2,386,5,26,224,,
6879563400,96,146255553.0,6846,0,1,496,465,2,467,0,102,12,,
6879563400,121,179157294.0,5954,0,2,397,406,4,230,0,48,5688,,
6879563400,100,331647201.0,4481,0,4,3426,303,3,214,0,25,410,,
6879563400,1,174913255.0,4829,1,0,2555,334,6,293,1,31,6048,,
6879563400,43,417625877.0,5224,5,8,2501,387,2,230,5,24,2257,,
6879563400,78,336925174.0,6848,5,3,2378,495,4,429,5,66,4506,,
6879562904,47,264150620.0,6680,0,11,15418,349,3,453,0,116,0,,
6879562904,44,246093359.0,5346,1,8,2312,277,4,288,1,63,0,,
6879562904,58,,4770,2,8,6217,197,6,199,2,14,0,,
6879562904,101,287063552.0,2750,0,9,9695,201,4,191,0,28,30,,
6879562904,63,429850864.0,7819,5,2,8218,357,4,407,5,94,0,,
6879562904,137,164761559.0,10437,11,2,12275,453,13,508,11,55,2959,,
6879562904,84,1203576131.0,13615,7,1,14892,587,20,673,7,115,2857,,
6879562904,92,,8063,5,5,8793,374,19,377,5,38,11548,,
6879562904,29,,13385,6,1,14954,546,13,576,6,126,3309,,
6879562904,8,,15875,8,0,9631,664,6,672,8,196,11854,,
6879561815,54,1031619363.0,6820,1,5,2893,324,3,419,1,106,1760,,
6879561815,57,,7080,5,4,8361,319,1,380,5,68,0,,
6879561815,75,,3727,1,10,9191,188,6,162,1,18,74,,
6879561815,136,,6862,7,3,11426,362,1,501,7,73,459,,
6879561815,112,,7188,2,4,7310,308,3,409,2,55,0,,
6879561815,8,,11392,5,4,6855,525,3,638,5,155,665,,
6879561815,59,1046881841.0,17086,13,1,27366,744,2,944,13,174,17771,,
6879561815,96,,8710,3,3,8331,387,5,342,3,100,1607,,
6879561815,33,110065516.0,6882,1,3,4408,309,3,360,1,61,1860,,
6879561815,101,,7019,4,5,9262,321,8,412,4,41,909,,
6879561709,54,1475017717.0,6896,0,2,1248,411,1,373,0,89,1136,,
6879561709,33,94197165.0,8226,0,2,3671,494,1,338,0,92,4730,,
6879561709,119,433017472.0,4020,0,2,2199,246,2,253,0,11,2372,,
6879561709,74,91852874.0,7721,1,2,2948,458,2,413,1,64,6063,,
6879561709,25,,5313,3,0,6050,340,1,327,3,26,4808,,
6879561709,103,66120143.0,1375,2,0,3272,160,1,140,2,10,0,,
6879561709,44,99721752.0,2140,1,1,2509,210,2,226,1,27,0,,
6879561709,15,1023679066.0,3270,2,3,4466,286,0,330,2,38,0,,
6879561709,84,110800951.0,4059,0,0,524,234,1,67,0,3,0,,
6879561709,36,110667821.0,6479,2,1,5294,368,0,300,2,43,86,,
6879560703,8,,1421,1,8,4461,163,4,165,1,13,0,,
6879560703,73,,6851,3,2,5739,483,1,326,3,93,0,,
6879560703,26,,3316,4,9,5174,233,3,229,4,14,0,,
6879560703,34,1114631279.0,4071,2,3,10808,286,3,392,2,43,0,,
6879560703,109,,8044,2,10,5274,418,3,161,2,22,0,,
6879560703,99,,7373,10,3,15201,470,6,456,10,77,441,,
6879560703,27,,5674,1,3,3362,276,12,362,1,31,1616,,
6879560703,25,,9509,8,1,7719,496,1,507,8,111,4286,,
6879560703,110,1199141987.0,6365,4,3,7049,316,14,407,4,34,586,,
6879560703,93,916594612.0,8778,7,2,4043,450,6,499,7,102,1604,,
6879560701,40,,5270,2,1,5378,470,0,472,2,53,4435,,
