match_id,player,player_deaths_per_min,player_assists_per_min,player_tower_damage,player_xp_per_min,player_gold_per_min,player_net_worth,player_kills_per_min,player_hero_damage,player_last_hits,player_roshans_killed,player_obs_placed,opponent,opponent_deaths_per_min,opponent_assists_per_min,opponent_tower_damage,opponent_xp_per_min,opponent_gold_per_min,opponent_net_worth,opponent_kills_per_min,opponent_hero_damage,opponent_last_hits,opponent_roshans_killed,opponent_obs_placed,winner,player_tower_damage_per_min,opponent_tower_damage_per_min,player_hero_damage_per_min,opponent_hero_damage_per_min,player_last_hits_per_min,opponent_last_hits_per_min
6880924102,767434930,,,0,,,0,,0,0,0,0,923113673,0.3121237995243496,0.520623008580805,0,1176.95,870.8,0,0.34064516671998185,0,0,0,0,767434930,,89.10371483768971,,1054.7068691933514,,4.104965210774305
6880924214,153110997,0.33518844300095607,0.18733308522825484,0,503.15,385.55,0,0.12258921238006089,0,0,0,0,1121170451,0.18402293002062112,0.3125080873566064,0,672.55,506.55,0,0.25268891252022263,0,0,0,0,1121170451,87.48730059800756,134.9990548354254,523.412498687559,682.0434276125977,3.770176657973093,5.146437043971984
6880924314,118839691,0.20099913571545022,0.36469022915890725,0,561.55,419.95,0,0.17388986767443756,0,0,0,0,437601765,0.2014988551438405,0.41089802336365566,0,430.36842105263156,295.57894736842104,0,0.08843420302243438,0,0,0,0,437601765,29.82054427431508,32.06074080030618,567.5666683392728,332.45310499014215,3.286680405642227,1.4329013077879762
6880924403,124272893,0.1959321463076966,0.4363851635669683,0,1261.55,917.3,0,0.3387710655146097,0,0,0,0,233422854,0.23972896072510985,0.47284540331108643,0,980.4,718.7,0,0.24277475241024166,0,0,0,0,233422854,36.54808153658091,42.61694646282636,849.9690503066324,757.2113621769058,4.128932292236894,3.4750977566547725
6880924409,147428574,0.2850123795087745,0.48378448594733375,0,1062.9473684210527,836.9473684210526,0,0.2810192549690704,0,0,0,0,292686154,0.2394591385875256,0.4460298855228177,0,552.2,347.95,0,0.12703271811283742,0,0,0,0,292686154,75.17021086386163,42.98270921968564,930.5821141765582,464.72783854999113,4.912842320080679,2.2822877145156797
6880924612,208034581,0.12455459244253116,0.24204655261113936,0,590.95,449.25,0,0.14741991882355487,0,0,0,0,140386828,0.20723402863322443,0.3940342574952528,0,650.8,500.0,0,0.25440391659766837,0,0,0,0,140386828,87.42953487402735,88.83428379680029,442.8864213406193,749.0929123841381,5.0613858498949975,4.677286342341595
6880924914,335246891,0.1739856416582705,0.30340491322191465,0,680.9,524.65,0,0.213624811766801,0,0,0,0,967878929,0.19845029966006547,0.4386704683627052,0,668.15,455.6,0,0.19238529179088135,0,0,0,0,967878929,164.7202896485642,47.235253633574004,647.2485063808732,608.2296360123155,4.533470942545747,2.621855587685383
6880925100,151849575,0.12553187133388694,0.27153899970891615,0,657.15,497.75,0,0.2567127010462648,0,0,0,0,227660565,0.16749785441691514,0.21765725487742832,0,852.0,676.45,0,0.2244709234368592,0,0,0,0,227660565,75.53819872050695,109.34533283008065,714.6197092191903,760.8798683277465,4.959815075164106,9.960368177461875
6880925307,177910556,0.30380942237367126,0.3901852806644698,0,967.55,661.25,0,0.300310938256526,0,0,0,0,173487372,0.20148099194407526,0.3491768369677671,0,1008.5,640.45,0,0.17012195952580744,0,0,0,0,173487372,52.53859415731664,40.52597384250299,926.4347590747586,600.1461122824016,2.778772845337115,3.016462728273411
6880925313,376884895,0.2041426853462557,0.4332477916692209,0,784.8,543.65,0,0.2214220250192105,0,0,0,0,137935474,0.20388412797469116,0.39960950406987056,0,662.35,465.4,0,0.21605496599258175,0,0,0,0,376884895,43.03025163162156,78.81356962386909,599.2917623122905,623.4401119029951,3.6207284044636916,4.13104891760907
